subject, run, block, trial, mu1, mu2, r1, r2, choice, reward, RT, cond, trial_onset, choice_onset, feedback_onset 
1,5.0,17.0,8.0,12.0,5.0,12.0,10.0,1.0,12.0,454.439163208,2,94.2212810516,94.7178311348,96.8172800541
1,5.0,17.0,9.0,12.0,5.0,12.0,4.0,1.0,12.0,452.605962753,2,104.885856152,105.381443024,108.214295149
1,5.0,17.0,10.0,12.0,5.0,12.0,4.0,1.0,12.0,704.144954681,2,117.431986094,118.17771101,120.644080162
1,5.0,18.0,1.0,-22.0,2.0,-19.0,2.0,2.0,2.0,1201.38382912,1,134.348152161,135.589138031,138.273147106
1,5.0,18.0,2.0,-22.0,2.0,-22.0,2.0,1.0,-22.0,304.527044296,1,145.040915012,145.386708975,148.186712027
1,5.0,18.0,3.0,-22.0,2.0,-27.0,2.0,2.0,2.0,487.44893074,1,156.370325089,156.900003195,158.217221022
1,5.0,18.0,4.0,-22.0,2.0,-25.0,2.0,2.0,2.0,438.050985336,1,166.33425498,166.814048052,168.614277124
1,5.0,18.0,5.0,-22.0,2.0,-23.0,2.0,2.0,2.0,404.448986053,1,177.497619152,177.944039106,180.877473116
1,5.0,18.0,6.0,-22.0,2.0,-14.0,2.0,2.0,2.0,537.580966949,1,189.127521992,189.707324982,192.090929985
1,5.0,18.0,7.0,-22.0,2.0,-27.0,2.0,2.0,2.0,487.631082535,1,201.15657115,201.687314987,203.320502043
1,5.0,18.0,8.0,-22.0,2.0,-15.0,2.0,2.0,2.0,453.758001328,1,212.438351154,212.934003115,215.717022181
1,5.0,18.0,9.0,-22.0,2.0,-31.0,2.0,2.0,2.0,371.245145798,1,224.68484807,225.097262144,227.863516092
1,5.0,18.0,10.0,-22.0,2.0,-18.0,2.0,2.0,2.0,552.449941635,1,236.398076057,236.993736029,238.343631029
1,5.0,19.0,1.0,5.0,11.0,7.0,11.0,1.0,7.0,938.918828964,3,252.413236141,253.389086962,255.772298098
1,5.0,19.0,2.0,5.0,11.0,-6.0,13.0,2.0,13.0,437.073945999,3,263.107131004,263.586244106,266.202589989
1,5.0,19.0,3.0,5.0,11.0,8.0,8.0,2.0,8.0,371.120929718,3,274.036666155,274.449781179,276.016407013
1,5.0,19.0,4.0,5.0,11.0,1.0,9.0,2.0,9.0,420.922994614,3,283.933748007,284.396967173,286.030249119
1,5.0,19.0,5.0,5.0,11.0,6.0,20.0,2.0,20.0,535.746097565,3,295.214169025,295.793775082,298.677183151
1,5.0,19.0,6.0,5.0,11.0,3.0,8.0,2.0,8.0,454.399824142,3,306.110927105,306.607331991,309.390742064
1,5.0,19.0,7.0,5.0,11.0,5.0,4.0,2.0,4.0,537.088155746,3,317.124629021,317.770727158,319.521164179
1,5.0,19.0,8.0,5.0,11.0,3.0,11.0,2.0,11.0,421.095848083,3,327.254678965,327.717880964,330.034862995
1,5.0,19.0,9.0,5.0,11.0,5.0,4.0,2.0,4.0,404.635906219,3,338.534896135,338.981482983,341.281646967
1,5.0,19.0,10.0,5.0,11.0,0.0,11.0,2.0,11.0,354.324102402,3,348.748748064,349.14519906,351.662069082
1,5.0,20.0,1.0,-12.0,-12.0,-12.0,-12.0,1.0,-12.0,1138.87691498,4,366.047440052,367.223237991,369.123069048
1,5.0,20.0,2.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,355.222940445,4,376.725589991,377.120577097,379.936720133
1,5.0,20.0,3.0,-12.0,-12.0,-12.0,-12.0,1.0,-12.0,566.98012352,4,387.654978991,388.267384052,391.166866064
1,5.0,20.0,4.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,852.481126785,4,398.951614141,399.847328186,401.997282982
1,5.0,20.0,5.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,483.674049377,4,410.04855299,410.577481985,411.794350147
1,5.0,20.0,6.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,417.109012604,4,419.662827015,420.14173317,421.891596079
1,5.0,20.0,7.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,520.934820175,4,429.842987061,430.405354977,433.338282108
1,5.0,20.0,8.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,354.066133499,4,441.539498091,441.935196161,444.266797066
1,5.0,20.0,9.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,470.851898193,4,451.88655901,452.399015188,455.315230131
1,5.0,20.0,10.0,-12.0,-12.0,-12.0,-12.0,2.0,-12.0,365.477085114,4,464.166831017,464.578602076,465.678833008
1,6.0,21.0,1.0,2.0,6.0,2.0,5.0,1.0,2.0,1068.1219101,2,17.0391690731,18.1482150555,19.6320750713
1,6.0,21.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,370.959997177,2,25.9233489037,26.3291230202,27.9456150532
1,6.0,21.0,3.0,2.0,6.0,2.0,4.0,2.0,4.0,404.266834259,2,35.7149579525,36.1596610546,37.3426721096
1,6.0,21.0,4.0,2.0,6.0,2.0,8.0,2.0,8.0,320.554971695,2,45.7956240177,46.1570138931,47.8901538849
1,6.0,21.0,5.0,2.0,6.0,2.0,-0.0,2.0,-0.0,404.193162918,2,56.4757530689,56.9203948975,59.5867049694
1,6.0,21.0,6.0,2.0,6.0,2.0,6.0,2.0,6.0,371.365070343,2,67.2894001007,67.7006239891,70.633603096
