subject, block, trial, mu1, mu2, choice, reward, RT, cond 
1,26.0,4.0,-19.0,2.0,2.0,2.0,404.356002808,3
1,26.0,5.0,-19.0,2.0,2.0,1.0,370.897054672,3
1,26.0,6.0,-19.0,2.0,2.0,-1.0,320.72019577,3
1,26.0,7.0,-19.0,2.0,2.0,-0.0,337.491035461,3
1,26.0,8.0,-19.0,2.0,2.0,-3.0,353.876113892,3
1,26.0,9.0,-19.0,2.0,2.0,3.0,354.541063309,3
1,26.0,10.0,-19.0,2.0,2.0,0.0,400.70104599,3
1,27.0,1.0,-6.0,-3.0,1.0,-6.0,1071.94399834,4
1,27.0,2.0,-6.0,-3.0,2.0,-3.0,337.80002594,4
1,27.0,3.0,-6.0,-3.0,2.0,-3.0,337.926149368,4
1,27.0,4.0,-6.0,-3.0,2.0,-3.0,337.807893753,4
1,27.0,5.0,-6.0,-3.0,2.0,-3.0,354.157924652,4
1,27.0,6.0,-6.0,-3.0,2.0,-3.0,354.084968567,4
1,27.0,7.0,-6.0,-3.0,2.0,-3.0,454.253911972,4
1,27.0,8.0,-6.0,-3.0,2.0,-3.0,400.413990021,4
1,27.0,9.0,-6.0,-3.0,2.0,-3.0,420.816898346,4
1,27.0,10.0,-6.0,-3.0,2.0,-3.0,404.260873795,4
1,28.0,1.0,-17.0,3.0,1.0,-17.0,922.018051147,2
1,28.0,2.0,-17.0,3.0,2.0,-2.0,337.405920029,2
1,28.0,3.0,-17.0,3.0,2.0,1.0,370.882987976,2
1,28.0,4.0,-17.0,3.0,2.0,7.0,421.010017395,2
1,28.0,5.0,-17.0,3.0,2.0,-0.0,304.384946823,2
1,28.0,6.0,-17.0,3.0,2.0,-0.0,354.156970978,2
1,28.0,7.0,-17.0,3.0,2.0,4.0,370.9897995,2
1,28.0,8.0,-17.0,3.0,2.0,7.0,337.389945984,2
1,28.0,9.0,-17.0,3.0,2.0,6.0,370.676994324,2
1,28.0,10.0,-17.0,3.0,2.0,10.0,504.097938538,2
1,29.0,1.0,7.0,14.0,2.0,14.0,1005.36203384,1
1,29.0,2.0,7.0,14.0,1.0,8.0,421.73409462,1
1,29.0,3.0,7.0,14.0,2.0,14.0,404.299020767,1
1,29.0,4.0,7.0,14.0,2.0,14.0,353.810071945,1
1,29.0,5.0,7.0,14.0,2.0,14.0,338.829040527,1
1,29.0,6.0,7.0,14.0,2.0,14.0,520.98107338,1
1,29.0,7.0,7.0,14.0,2.0,14.0,387.626171112,1
1,29.0,8.0,7.0,14.0,2.0,14.0,370.904922485,1
1,29.0,9.0,7.0,14.0,2.0,14.0,1054.05902863,1
1,29.0,10.0,7.0,14.0,2.0,14.0,605.250120163,1
1,30.0,1.0,12.0,-6.0,1.0,12.0,1020.55883408,3
1,30.0,2.0,12.0,-6.0,1.0,19.0,470.784902573,3
1,30.0,3.0,12.0,-6.0,1.0,19.0,407.811880112,3
1,30.0,4.0,12.0,-6.0,1.0,10.0,454.230070114,3
1,30.0,5.0,12.0,-6.0,1.0,12.0,387.696027756,3
1,30.0,6.0,12.0,-6.0,1.0,12.0,405.751943588,3
1,30.0,7.0,12.0,-6.0,1.0,12.0,437.520027161,3
1,30.0,8.0,12.0,-6.0,1.0,4.0,287.395000458,3
1,30.0,9.0,12.0,-6.0,1.0,9.0,387.445926666,3
1,30.0,10.0,12.0,-6.0,1.0,12.0,339.299917221,3
1,31.0,1.0,-15.0,-8.0,1.0,-15.0,1239.06493187,2
1,31.0,2.0,-15.0,-8.0,2.0,-7.0,371.028184891,2
1,31.0,3.0,-15.0,-8.0,2.0,-9.0,503.958940506,2
1,31.0,4.0,-15.0,-8.0,2.0,-12.0,487.371206284,2
1,31.0,5.0,-15.0,-8.0,2.0,-9.0,337.569952011,2
1,31.0,6.0,-15.0,-8.0,2.0,-4.0,404.193162918,2
1,31.0,7.0,-15.0,-8.0,2.0,-15.0,370.611906052,2
1,31.0,8.0,-15.0,-8.0,2.0,-7.0,370.792865753,2
1,31.0,9.0,-15.0,-8.0,2.0,-6.0,370.718002319,2
1,31.0,10.0,-15.0,-8.0,2.0,-6.0,453.978061676,2
1,32.0,1.0,26.0,-2.0,1.0,26.0,1089.04910088,4
1,32.0,2.0,26.0,-2.0,1.0,26.0,400.382041931,4
1,32.0,3.0,26.0,-2.0,1.0,26.0,437.528133392,4
1,32.0,4.0,26.0,-2.0,1.0,26.0,370.97287178,4
1,32.0,5.0,26.0,-2.0,1.0,26.0,1055.41992188,4
1,32.0,6.0,26.0,-2.0,1.0,26.0,420.771121979,4
1,32.0,7.0,26.0,-2.0,1.0,26.0,471.13609314,4
1,32.0,8.0,26.0,-2.0,1.0,26.0,487.486839294,4
1,32.0,9.0,26.0,-2.0,1.0,26.0,487.653970718,4
1,32.0,10.0,26.0,-2.0,1.0,26.0,437.101125717,4
